cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-color-below-ring,stalk-color-above-ring,stalk-color-below-ring.1,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,edible
x,y,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d,e
f,f,g,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,p,p
f,f,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,p,p
x,f,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d,e
x,s,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,e
f,s,w,t,f,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,s,g,p
k,s,n,f,s,f,c,n,b,t,,s,s,w,w,p,w,o,e,w,v,d,p
x,y,n,f,f,f,c,n,b,t,,s,s,p,w,p,w,o,e,w,v,l,p
f,s,b,t,f,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,s,u,p
x,s,g,t,f,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,s,g,p
x,y,e,f,f,f,c,n,b,t,,k,k,w,w,p,w,o,e,w,v,l,p
x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
x,s,b,t,f,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,v,g,p
f,f,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d,e
b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e
f,y,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d,e
k,f,w,f,n,f,w,b,p,e,,s,k,w,w,p,w,t,p,w,n,g,e
x,f,p,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,k,s,d,p
f,y,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,p,p
f,s,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,a,g,e
f,f,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,g,p
f,s,n,f,s,f,c,n,b,t,,s,k,w,p,p,w,o,e,w,v,d,p
x,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g,e
x,y,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d,e
x,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,e
k,y,p,t,n,f,c,b,e,e,,s,s,w,w,p,w,t,e,w,c,w,e
f,y,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,d,p
x,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,e
k,s,e,f,s,f,c,n,b,t,,s,s,w,p,p,w,o,e,w,v,l,p
x,y,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,g,p
x,s,g,t,f,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,v,u,p
k,s,e,f,y,f,c,n,b,t,,s,k,w,p,p,w,o,e,w,v,d,p
f,f,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g,p
f,f,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d,e
x,s,n,f,y,f,c,n,b,t,,s,k,p,p,p,w,o,e,w,v,p,p
f,s,e,f,f,f,c,n,b,t,,k,k,p,p,p,w,o,e,w,v,l,p
x,f,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,g,p
x,s,b,t,f,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,s,g,p
x,f,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,v,d,e
x,f,y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,d,p
f,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g,e
x,s,n,f,n,a,c,b,y,e,,s,s,o,o,p,o,o,p,o,c,l,e
x,s,g,t,f,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,s,u,p
x,f,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d,e
f,y,g,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,y,d,e
x,f,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,e
x,y,n,f,s,f,c,n,b,t,,k,s,p,p,p,w,o,e,w,v,l,p
f,f,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,d,p
x,s,p,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,k,s,d,p
x,s,e,f,f,f,c,n,b,t,,s,k,p,p,p,w,o,e,w,v,l,p
f,f,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,e
x,f,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d,e
f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g,p
x,y,g,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,v,d,e
b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e
f,y,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,v,d,e
x,s,w,t,f,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,s,g,p
x,y,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d,e
f,y,b,t,n,f,c,b,w,e,,s,s,e,w,p,w,t,e,w,c,w,e
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g,p
x,s,n,f,s,f,c,n,b,t,,s,k,p,w,p,w,o,e,w,v,d,p
k,s,e,f,s,f,c,n,b,t,,k,s,p,p,p,w,o,e,w,v,p,p
f,y,e,f,s,f,c,n,b,t,,s,s,w,w,p,w,o,e,w,v,d,p
f,f,n,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,y,d,e
x,y,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,g,p
x,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g,e
f,y,e,f,y,f,c,n,b,t,,s,s,w,p,p,w,o,e,w,v,d,p
x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u,p
x,s,g,t,f,f,c,b,w,t,b,s,s,w,w,p,w,o,p,h,s,g,p
x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m,e
x,f,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,g,p
x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
s,f,n,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,e
f,y,n,f,s,f,c,n,b,t,,k,k,p,p,p,w,o,e,w,v,l,p
f,y,g,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,g,p
f,f,w,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,e
f,f,g,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,p,p
k,s,n,f,y,f,c,n,b,t,,s,s,p,p,p,w,o,e,w,v,l,p
f,f,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d,e
x,y,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,p,p
x,y,g,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,d,e
k,s,n,f,s,f,c,n,b,t,,k,s,w,p,p,w,o,e,w,v,p,p
f,y,e,f,s,f,c,n,b,t,,k,s,p,w,p,w,o,e,w,v,l,p
x,f,y,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,d,p
f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,e
f,y,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,d,p
b,s,n,f,n,a,c,b,n,e,,s,s,o,o,p,n,o,p,y,v,l,e
f,f,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,a,g,e
b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e
x,y,w,f,n,f,c,n,p,e,,s,f,w,w,p,w,o,f,h,v,d,e
b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,e
x,y,n,f,f,f,c,n,b,t,,k,s,w,w,p,w,o,e,w,v,l,p
k,y,e,f,s,f,c,n,b,t,,s,s,w,p,p,w,o,e,w,v,d,p
x,f,n,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,y,d,e
k,y,n,f,s,f,c,n,b,t,,k,k,w,w,p,w,o,e,w,v,p,p
f,y,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,y,d,e
x,y,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,e
x,y,y,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,p,p
x,y,e,f,f,f,c,n,b,t,,k,s,p,w,p,w,o,e,w,v,l,p
k,s,n,f,y,f,c,n,b,t,,k,s,p,w,p,w,o,e,w,v,l,p
b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e
x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
f,f,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,d,e
k,s,n,f,f,f,c,n,b,t,,s,k,w,p,p,w,o,e,w,v,l,p
f,y,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p,p
c,y,y,f,n,f,w,n,y,e,c,y,y,y,y,p,y,o,e,w,c,l,p
f,s,n,f,n,a,c,b,y,e,,s,s,o,o,p,n,o,p,y,c,l,e
x,y,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p,p
f,y,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,p,p
x,y,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,g,p
x,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e
x,y,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,d,p
b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e
f,f,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g,e
f,y,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d,e
f,y,e,f,y,f,c,n,b,t,,k,s,p,p,p,w,o,e,w,v,p,p
x,f,y,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
x,y,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,p,p
f,s,n,f,s,f,c,n,b,t,,k,s,p,w,p,w,o,e,w,v,d,p
f,s,e,f,f,f,c,n,b,t,,k,s,w,p,p,w,o,e,w,v,d,p
f,f,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,e
f,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,p
x,s,n,f,n,a,c,b,y,e,,s,s,o,o,p,o,o,p,y,c,l,e
x,s,g,f,n,f,w,b,w,e,,k,s,w,w,p,w,t,p,w,n,g,e
x,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e
k,s,e,f,y,f,c,n,b,t,,s,s,w,p,p,w,o,e,w,v,l,p
f,s,n,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,v,p,e
k,y,e,f,y,f,c,n,b,t,,s,k,w,p,p,w,o,e,w,v,l,p
f,y,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d,e
f,y,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d,e
f,y,g,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d,e
x,f,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,d,e
k,f,c,f,n,f,w,n,w,e,b,s,s,w,n,p,w,o,e,w,v,l,e
x,y,g,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,y,d,e
f,y,g,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,g,p
f,f,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d,e
x,y,e,f,s,f,c,n,b,t,,k,k,p,w,p,w,o,e,w,v,p,p
x,s,n,f,n,a,c,b,y,e,,s,s,o,o,p,o,o,p,y,v,l,e
s,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u,e
x,s,g,t,f,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,s,u,p
f,y,n,f,s,f,c,n,b,t,,k,s,p,p,p,w,o,e,w,v,d,p
f,y,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,v,d,e
x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
f,s,w,t,f,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,v,u,p
f,f,n,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,v,d,e
f,y,n,f,s,f,c,n,b,t,,k,s,w,p,p,w,o,e,w,v,l,p
x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,p,e
x,s,e,f,f,f,c,n,b,t,,k,s,p,p,p,w,o,e,w,v,p,p
x,s,n,f,f,f,c,n,b,t,,k,s,w,w,p,w,o,e,w,v,l,p
f,y,g,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d,e
